num_episodes,num_steps,num_updates,episode_steps,train_reward
1.0,50.0,0.0,50.0,-7.0346961034623625
2.0,100.0,0.0,50.0,-8.28941817500037
3.0,150.0,0.0,50.0,-4.492852580308747
4.0,200.0,0.0,50.0,-6.33433336999266
5.0,250.0,0.0,50.0,-13.27573913344188
6.0,300.0,43.0,50.0,-10.434226407461185
7.0,350.0,93.0,50.0,-8.46687362004505
8.0,400.0,143.0,50.0,-11.0710629181277
9.0,450.0,193.0,50.0,-9.629371410975285
10.0,500.0,243.0,50.0,-6.649113093067242
11.0,550.0,293.0,50.0,-5.747566412366394
12.0,600.0,343.0,50.0,-9.333468019726725
13.0,650.0,393.0,50.0,-11.053397667625605
14.0,700.0,443.0,50.0,-9.575659044100618
15.0,750.0,493.0,50.0,-8.012531380284118
16.0,800.0,543.0,50.0,-7.934662371176017
17.0,850.0,593.0,50.0,-9.986695800247197
18.0,900.0,643.0,50.0,-7.282133192008122
19.0,950.0,693.0,50.0,-10.25456127414701
20.0,1000.0,743.0,50.0,-8.373739577166255
21.0,1050.0,793.0,50.0,-7.274739341715402
22.0,1100.0,843.0,50.0,-6.479955028120711
23.0,1150.0,893.0,50.0,-7.765717463410652
24.0,1200.0,943.0,50.0,-3.7194066041934866
25.0,1250.0,993.0,50.0,-14.562374935901008
26.0,1300.0,1043.0,50.0,-10.844881099793096
27.0,1350.0,1093.0,50.0,-11.075305654366293
28.0,1400.0,1143.0,50.0,-9.407839079075854
29.0,1450.0,1193.0,50.0,-8.984005716639315
30.0,1500.0,1243.0,50.0,-7.613946036410969
31.0,1550.0,1293.0,50.0,-18.127533282700806
32.0,1600.0,1343.0,50.0,-8.71178476706363
33.0,1650.0,1393.0,50.0,-10.54726671446778
34.0,1700.0,1443.0,50.0,-12.494998022737862
35.0,1750.0,1493.0,50.0,-8.703451890061455
36.0,1800.0,1543.0,50.0,-10.841209254278107
37.0,1850.0,1593.0,50.0,-6.89344769817717
38.0,1900.0,1643.0,50.0,-13.52627550965648
