num_episodes,num_steps,num_updates,episode_steps,train_reward
1.0,50.0,0.0,50.0,-10.363850630479938
2.0,100.0,0.0,50.0,-7.816980453948505
3.0,150.0,0.0,50.0,-10.252401264702787
4.0,200.0,0.0,50.0,-12.709492942107241
5.0,250.0,0.0,50.0,-10.000050031732107
6.0,300.0,43.0,50.0,-10.523377047183068
7.0,350.0,93.0,50.0,-13.278454170036978
8.0,400.0,143.0,50.0,-11.744782479422692
9.0,450.0,193.0,50.0,-5.391699191045613
10.0,500.0,243.0,50.0,-14.954393033504497
11.0,550.0,293.0,50.0,-13.576892025744547
12.0,600.0,343.0,50.0,-12.050810085618956
13.0,650.0,393.0,50.0,-15.573317466230094
14.0,700.0,443.0,50.0,-9.832480530251958
15.0,750.0,493.0,50.0,-6.140333323258202
16.0,800.0,543.0,50.0,-9.057273324134677
17.0,850.0,593.0,50.0,-19.505512367177285
18.0,900.0,643.0,50.0,-14.352422719209416
19.0,950.0,693.0,50.0,-9.5049380039068
20.0,1000.0,743.0,50.0,-10.670696733809546
21.0,1050.0,793.0,50.0,-9.395760081270225
22.0,1100.0,843.0,50.0,-11.0143056824929
23.0,1150.0,893.0,50.0,-7.493209063447132
24.0,1200.0,943.0,50.0,-10.159633529081894
25.0,1250.0,993.0,50.0,-8.67829910059449
26.0,1300.0,1043.0,50.0,-10.991716732078006
27.0,1350.0,1093.0,50.0,-11.034693313874774
28.0,1400.0,1143.0,50.0,-4.898003835153404
29.0,1450.0,1193.0,50.0,-12.06924276183074
30.0,1500.0,1243.0,50.0,-11.094942769891102
31.0,1550.0,1293.0,50.0,-6.125801349474084
32.0,1600.0,1343.0,50.0,-5.246450700959099
33.0,1650.0,1393.0,50.0,-7.246428335034265
34.0,1700.0,1443.0,50.0,-6.498680628905159
35.0,1750.0,1493.0,50.0,-6.146251486017851
36.0,1800.0,1543.0,50.0,-10.281987321256404
37.0,1850.0,1593.0,50.0,-14.7941085118324
38.0,1900.0,1643.0,50.0,-8.034030387144735
39.0,1950.0,1693.0,50.0,-8.773178047495117
40.0,2000.0,1743.0,50.0,-6.9088359808851445
41.0,2050.0,1793.0,50.0,-7.763662150369586
42.0,2100.0,1843.0,50.0,-6.840177842964353
43.0,2150.0,1893.0,50.0,-10.159971440640822
44.0,2200.0,1943.0,50.0,-7.31206861343457
45.0,2250.0,1993.0,50.0,-9.301731547742305
46.0,2300.0,2043.0,50.0,-10.292787723921206
