num_episodes,num_steps,num_updates,episode_steps,train_reward
1.0,50.0,0.0,50.0,-8.259959303497581
2.0,100.0,0.0,50.0,-8.773120791555273
3.0,150.0,0.0,50.0,-8.43701747686078
4.0,200.0,0.0,50.0,-6.138091016999538
5.0,250.0,0.0,50.0,-8.831229338373435
6.0,300.0,43.0,50.0,-12.237298372083398
7.0,350.0,93.0,50.0,-11.361146214988977
8.0,400.0,143.0,50.0,-7.511455199050958
9.0,450.0,193.0,50.0,-10.46984741838027
10.0,500.0,243.0,50.0,-12.302553519388182
11.0,550.0,293.0,50.0,-5.353922528738993
12.0,600.0,343.0,50.0,-9.34626660609966
13.0,650.0,393.0,50.0,-10.648606823101966
14.0,700.0,443.0,50.0,-6.150108154721142
15.0,750.0,493.0,50.0,-6.548178730652034
16.0,800.0,543.0,50.0,-9.650660781781099
17.0,850.0,593.0,50.0,-11.194201928860865
18.0,900.0,643.0,50.0,-8.803321400929399
19.0,950.0,693.0,50.0,-11.479379863105393
20.0,1000.0,743.0,50.0,-9.803180172976504
21.0,1050.0,793.0,50.0,-12.47021246151879
22.0,1100.0,843.0,50.0,-13.55779032384227
23.0,1150.0,893.0,50.0,-5.414582845082984
24.0,1200.0,943.0,50.0,-10.56729065126375
25.0,1250.0,993.0,50.0,-7.393799554308949
26.0,1300.0,1043.0,50.0,-10.408786811131826
27.0,1350.0,1093.0,50.0,-5.569372654425594
28.0,1400.0,1143.0,50.0,-10.40414240234535
29.0,1450.0,1193.0,50.0,-5.62158639382893
30.0,1500.0,1243.0,50.0,-11.467679154998601
31.0,1550.0,1293.0,50.0,-7.443859991868302
32.0,1600.0,1343.0,50.0,-11.054354734795712
33.0,1650.0,1393.0,50.0,-15.291027307658842
34.0,1700.0,1443.0,50.0,-7.635034885806682
35.0,1750.0,1493.0,50.0,-10.90920211644644
36.0,1800.0,1543.0,50.0,-8.398424140646307
37.0,1850.0,1593.0,50.0,-7.477516116563974
38.0,1900.0,1643.0,50.0,-5.985912642288316
39.0,1950.0,1693.0,50.0,-4.336372989650965
40.0,2000.0,1743.0,50.0,-3.837607784685255
41.0,2050.0,1793.0,50.0,-12.084222148379784
42.0,2100.0,1843.0,50.0,-6.0688292878531644
43.0,2150.0,1893.0,50.0,-13.42763503253812
44.0,2200.0,1943.0,50.0,-7.244939446145753
45.0,2250.0,1993.0,50.0,-9.500033883880128
46.0,2300.0,2043.0,50.0,-11.606423756702451
47.0,2350.0,2093.0,50.0,-5.579333743597939
48.0,2400.0,2143.0,50.0,-11.194874366421724
49.0,2450.0,2193.0,50.0,-14.23740340870025
50.0,2500.0,2243.0,50.0,-9.68108324505434
51.0,2550.0,2293.0,50.0,-10.393312020824968
52.0,2600.0,2343.0,50.0,-14.16025813695565
53.0,2650.0,2393.0,50.0,-6.552807567200015
54.0,2700.0,2443.0,50.0,-10.4757537558694
55.0,2750.0,2493.0,50.0,-6.600261506885602
56.0,2800.0,2543.0,50.0,-8.823937858576533
57.0,2850.0,2593.0,50.0,-11.779719400263046
58.0,2900.0,2643.0,50.0,-9.696162527684102
59.0,2950.0,2693.0,50.0,-8.73494088811374
60.0,3000.0,2743.0,50.0,-14.584465684538966
61.0,3050.0,2793.0,50.0,-9.381775821766334
62.0,3100.0,2843.0,50.0,-10.916374034255277
63.0,3150.0,2893.0,50.0,-8.504665207665031
64.0,3200.0,2943.0,50.0,-11.813530813617522
65.0,3250.0,2993.0,50.0,-3.6294618079075858
66.0,3300.0,3043.0,50.0,-8.351948063136781
67.0,3350.0,3093.0,50.0,-6.796058603409386
68.0,3400.0,3143.0,50.0,-8.077323820496636
69.0,3450.0,3193.0,50.0,-11.561898506915703
70.0,3500.0,3243.0,50.0,-10.507956665786159
71.0,3550.0,3293.0,50.0,-10.616781082550052
72.0,3600.0,3343.0,50.0,-10.153567830944688
73.0,3650.0,3393.0,50.0,-11.993851619086106
74.0,3700.0,3443.0,50.0,-11.162830345924972
75.0,3750.0,3493.0,50.0,-15.349809141393681
76.0,3800.0,3543.0,50.0,-7.051416323608554
77.0,3850.0,3593.0,50.0,-8.586499969690836
78.0,3900.0,3643.0,50.0,-9.435925646475976
79.0,3950.0,3693.0,50.0,-14.271694024332518
80.0,4000.0,3743.0,50.0,-5.360749361742646
81.0,4050.0,3793.0,50.0,-11.623888628132143
82.0,4100.0,3843.0,50.0,-11.443441854460781
83.0,4150.0,3893.0,50.0,-11.518890838151739
84.0,4200.0,3943.0,50.0,-10.232355614337378
85.0,4250.0,3993.0,50.0,-3.755361711331367
86.0,4300.0,4043.0,50.0,-13.17532368394146
87.0,4350.0,4093.0,50.0,-5.089288802803163
88.0,4400.0,4143.0,50.0,-5.825664303224956
89.0,4450.0,4193.0,50.0,-9.152339569448303
90.0,4500.0,4243.0,50.0,-9.796364868120722
91.0,4550.0,4293.0,50.0,-11.454254692336972
92.0,4600.0,4343.0,50.0,-7.085286660233995
93.0,4650.0,4393.0,50.0,-7.5316090651006
94.0,4700.0,4443.0,50.0,-10.011101784428385
95.0,4750.0,4493.0,50.0,-10.944472250133108
96.0,4800.0,4543.0,50.0,-13.84469975384022
97.0,4850.0,4593.0,50.0,-7.01165789008941
98.0,4900.0,4643.0,50.0,-9.484756093077946
99.0,4950.0,4693.0,50.0,-11.570057639097257
100.0,5000.0,4743.0,50.0,-11.469937153085477
101.0,5050.0,4793.0,50.0,-9.566341067304966
102.0,5100.0,4843.0,50.0,-3.8229304341450625
103.0,5150.0,4893.0,50.0,-12.89819690309182
104.0,5200.0,4943.0,50.0,-13.353251391224038
105.0,5250.0,4993.0,50.0,-13.643866554803287
106.0,5300.0,5043.0,50.0,-9.286330388456344
107.0,5350.0,5093.0,50.0,-16.572833547605175
108.0,5400.0,5143.0,50.0,-6.716961633841399
109.0,5450.0,5193.0,50.0,-8.438662469630138
110.0,5500.0,5243.0,50.0,-5.291833545230796
111.0,5550.0,5293.0,50.0,-12.780175770219804
112.0,5600.0,5343.0,50.0,-13.163661712396262
113.0,5650.0,5393.0,50.0,-8.601975877754814
114.0,5700.0,5443.0,50.0,-9.947979360456335
115.0,5750.0,5493.0,50.0,-15.527113827946042
116.0,5800.0,5543.0,50.0,-9.019854488003327
117.0,5850.0,5593.0,50.0,-13.47325774027147
118.0,5900.0,5643.0,50.0,-17.261584423877142
119.0,5950.0,5693.0,50.0,-14.690058541807606
120.0,6000.0,5743.0,50.0,-6.088024534500552
121.0,6050.0,5793.0,50.0,-6.62861093373641
122.0,6100.0,5843.0,50.0,-17.107176703763198
123.0,6150.0,5893.0,50.0,-13.097184314121764
124.0,6200.0,5943.0,50.0,-7.996758103116707
125.0,6250.0,5993.0,50.0,-10.11397268152804
126.0,6300.0,6043.0,50.0,-7.43902249276218
127.0,6350.0,6093.0,50.0,-6.966495682267534
128.0,6400.0,6143.0,50.0,-7.580871626223627
129.0,6450.0,6193.0,50.0,-9.270076843806024
130.0,6500.0,6243.0,50.0,-11.920602692906087
131.0,6550.0,6293.0,50.0,-9.023430588696456
132.0,6600.0,6343.0,50.0,-13.482921917927925
133.0,6650.0,6393.0,50.0,-4.26359559539692
134.0,6700.0,6443.0,50.0,-9.176348777543552
135.0,6750.0,6493.0,50.0,-12.490186955699805
136.0,6800.0,6543.0,50.0,-5.418626777640437
137.0,6850.0,6593.0,50.0,-15.183570137316146
138.0,6900.0,6643.0,50.0,-11.482844997442667
139.0,6950.0,6693.0,50.0,-6.30191767831065
140.0,7000.0,6743.0,50.0,-7.162839164102959
141.0,7050.0,6793.0,50.0,-11.42625603777657
142.0,7100.0,6843.0,50.0,-13.809116562526661
143.0,7150.0,6893.0,50.0,-8.98438587175828
144.0,7200.0,6943.0,50.0,-4.7459060636285475
145.0,7250.0,6993.0,50.0,-9.38570818954136
146.0,7300.0,7043.0,50.0,-14.347713614502291
147.0,7350.0,7093.0,50.0,-3.2124823515223895
148.0,7400.0,7143.0,50.0,-11.404375035526025
149.0,7450.0,7193.0,50.0,-10.55182938675991
150.0,7500.0,7243.0,50.0,-6.749553567945834
151.0,7550.0,7293.0,50.0,-8.995659029417402
152.0,7600.0,7343.0,50.0,-4.317502699812429
153.0,7650.0,7393.0,50.0,-6.627113384255369
154.0,7700.0,7443.0,50.0,-10.149611010666174
155.0,7750.0,7493.0,50.0,-10.547744759251563
156.0,7800.0,7543.0,50.0,-6.902540191945041
157.0,7850.0,7593.0,50.0,-7.891682082450616
158.0,7900.0,7643.0,50.0,-13.34382772580998
159.0,7950.0,7693.0,50.0,-10.612074286628072
160.0,8000.0,7743.0,50.0,-7.114729567332458
161.0,8050.0,7793.0,50.0,-7.3551881731053195
162.0,8100.0,7843.0,50.0,-13.396312576434259
163.0,8150.0,7893.0,50.0,-9.09814459328792
164.0,8200.0,7943.0,50.0,-7.967457102839302
165.0,8250.0,7993.0,50.0,-10.986560236997072
166.0,8300.0,8043.0,50.0,-13.54424853806275
167.0,8350.0,8093.0,50.0,-12.900969683485412
168.0,8400.0,8143.0,50.0,-9.75219802748006
169.0,8450.0,8193.0,50.0,-9.68469494704926
170.0,8500.0,8243.0,50.0,-6.079533262410957
171.0,8550.0,8293.0,50.0,-7.780043256063234
172.0,8600.0,8343.0,50.0,-4.453709590706759
173.0,8650.0,8393.0,50.0,-4.599859934546598
174.0,8700.0,8443.0,50.0,-10.272726299691447
175.0,8750.0,8493.0,50.0,-15.468635916693874
176.0,8800.0,8543.0,50.0,-11.555834688184259
177.0,8850.0,8593.0,50.0,-9.165833378615442
178.0,8900.0,8643.0,50.0,-9.020988000081664
179.0,8950.0,8693.0,50.0,-10.384944260388151
180.0,9000.0,8743.0,50.0,-12.647530005485768
181.0,9050.0,8793.0,50.0,-12.662410855056347
