num_episodes,num_steps,num_updates,episode_steps,train_reward
1.0,50.0,0.0,50.0,-4.574118893813063
2.0,100.0,0.0,50.0,-8.811299728039284
3.0,150.0,0.0,50.0,-6.826870265362398
4.0,200.0,0.0,50.0,-9.05189801720213
5.0,250.0,0.0,50.0,-6.971850525808881
6.0,300.0,43.0,50.0,-11.745256272987703
7.0,350.0,93.0,50.0,-7.163579138192319
8.0,400.0,143.0,50.0,-11.732266321510142
9.0,450.0,193.0,50.0,-5.903970216214367
10.0,500.0,243.0,50.0,-11.363942718297299
11.0,550.0,293.0,50.0,-4.110734571609865
12.0,600.0,343.0,50.0,-8.520380102400217
13.0,650.0,393.0,50.0,-8.528864732819402
14.0,700.0,443.0,50.0,-9.191143398385995
15.0,750.0,493.0,50.0,-12.69062786748423
16.0,800.0,543.0,50.0,-10.654455650223516
17.0,850.0,593.0,50.0,-14.071417403276962
18.0,900.0,643.0,50.0,-15.485508227116636
19.0,950.0,693.0,50.0,-12.007958391266431
20.0,1000.0,743.0,50.0,-11.651092223403182
21.0,1050.0,793.0,50.0,-5.184014097307351
22.0,1100.0,843.0,50.0,-12.675114630301247
23.0,1150.0,893.0,50.0,-14.547327930351745
24.0,1200.0,943.0,50.0,-8.502750450036665
25.0,1250.0,993.0,50.0,-12.405793615459443
26.0,1300.0,1043.0,50.0,-7.896757521918408
27.0,1350.0,1093.0,50.0,-8.232982547429094
28.0,1400.0,1143.0,50.0,-8.6711482041803
29.0,1450.0,1193.0,50.0,-6.504392826541031
30.0,1500.0,1243.0,50.0,-5.177393454040573
31.0,1550.0,1293.0,50.0,-4.71987477241985
32.0,1600.0,1343.0,50.0,-12.417559346654539
33.0,1650.0,1393.0,50.0,-9.854688016730119
34.0,1700.0,1443.0,50.0,-13.390233295214712
35.0,1750.0,1493.0,50.0,-7.450374340025894
36.0,1800.0,1543.0,50.0,-12.239008910813643
37.0,1850.0,1593.0,50.0,-8.41078506804703
38.0,1900.0,1643.0,50.0,-11.57147652715191
39.0,1950.0,1693.0,50.0,-7.698728221104855
40.0,2000.0,1743.0,50.0,-11.957798752863036
